batch_size,embedding_size,num_heads,num_layers,total_num_parameters,OOM,build_time(ms)
1,1536,2,25,1101869568.0,no,463.85645866394043
2,1536,2,25,1101869568.0,no,353.3923625946045
3,1536,2,25,1101869568.0,no,424.21722412109375
4,1536,2,25,1101869568.0,no,354.3703556060791
5,1536,2,25,1101869568.0,no,422.9860305786133
1,1536,2,26,1130184192.0,no,354.3851375579834
2,1536,2,26,1130184192.0,no,408.4947109222412
3,1536,2,26,1130184192.0,no,427.3242950439453
4,1536,2,26,1130184192.0,no,359.70234870910645
5,1536,2,26,1130184192.0,no,436.91062927246094
1,1536,2,27,1158498816.0,no,357.3412895202637
2,1536,2,27,1158498816.0,no,435.19067764282227
3,1536,2,27,1158498816.0,no,358.43515396118164
4,1536,2,27,1158498816.0,no,354.3369770050049
5,1536,2,27,1158498816.0,no,423.71606826782227
1,1536,2,28,1186813440.0,no,352.1280288696289
2,1536,2,28,1186813440.0,no,423.88916015625
3,1536,2,28,1186813440.0,no,357.93209075927734
4,1536,2,28,1186813440.0,no,418.3995723724365
5,1536,2,28,1186813440.0,no,354.7844886779785
1,1536,2,29,1215128064.0,no,351.3505458831787
2,1536,2,29,1215128064.0,no,435.1637363433838
3,1536,2,29,1215128064.0,no,359.11059379577637
4,1536,2,29,1215128064.0,no,420.75347900390625
5,1536,2,29,1215128064.0,no,349.5173454284668
1,1536,2,30,1243442688.0,no,433.1085681915283
2,1536,2,30,1243442688.0,no,355.09276390075684
3,1536,2,30,1243442688.0,no,354.65312004089355
4,1536,2,30,1243442688.0,no,420.25065422058105
5,1536,2,30,1243442688.0,no,353.6536693572998
1,1536,2,31,1271757312.0,no,424.6342182159424
2,1536,2,31,1271757312.0,no,355.1304340362549
3,1536,2,31,1271757312.0,no,426.38278007507324
4,1536,2,31,1271757312.0,no,355.53574562072754
5,1536,2,31,1271757312.0,no,431.1485290527344
1,1536,2,32,1300071936.0,no,365.2987480163574
2,1536,2,32,1300071936.0,no,361.255407333374
3,1536,2,32,1300071936.0,no,435.0438117980957
4,1536,2,32,1300071936.0,no,361.4811897277832
5,1536,2,32,1300071936.0,no,427.54197120666504
1,2048,2,25,1809946624.0,no,375.9946823120117
2,2048,2,25,1809946624.0,no,442.25215911865234
3,2048,2,25,1809946624.0,no,367.07520484924316
4,2048,2,25,1809946624.0,no,352.28919982910156
5,2048,2,25,1809946624.0,no,426.607608795166
1,2048,2,26,1861330944.0,no,360.57519912719727
2,2048,2,26,1861330944.0,no,433.54296684265137
3,2048,2,26,1861330944.0,no,359.84349250793457
4,2048,2,26,1861330944.0,no,423.8111972808838
5,2048,2,26,1861330944.0,no,358.473539352417
1,2048,2,27,1912715264.0,no,358.90674591064453
2,2048,2,27,1912715264.0,no,429.668664932251
3,2048,2,27,1912715264.0,no,361.9053363800049
4,2048,2,27,1912715264.0,no,520.7829475402832
5,2048,2,27,1912715264.0,no,394.773006439209
1,2048,2,28,1964099584.0,no,458.52136611938477
2,2048,2,28,1964099584.0,no,366.1794662475586
3,2048,2,28,1964099584.0,no,374.190092086792
4,2048,2,28,1964099584.0,no,467.5741195678711
5,2048,2,28,1964099584.0,no,375.5683898925781
1,2048,2,29,2015483904.0,no,456.1634063720703
2,2048,2,29,2015483904.0,no,421.05841636657715
3,2048,2,29,2015483904.0,no,436.24162673950195
4,2048,2,29,2015483904.0,no,377.44617462158203
5,2048,2,29,2015483904.0,no,368.3638572692871
1,2048,2,30,2066868224.0,no,429.1088581085205
2,2048,2,30,2066868224.0,no,390.87867736816406
3,2048,2,30,2066868224.0,no,457.5304985046387
4,2048,2,30,2066868224.0,no,388.9789581298828
5,2048,2,30,2066868224.0,no,445.56379318237305
1,2048,2,31,2118252544.0,no,370.59879302978516
2,2048,2,31,2118252544.0,no,358.257532119751
3,2048,2,31,2118252544.0,no,455.07121086120605
4,2048,2,31,2118252544.0,no,359.2550754547119
5,2048,2,31,2118252544.0,no,426.9266128540039
1,2048,2,32,2169636864.0,no,359.4696521759033
2,2048,2,32,2169636864.0,no,486.4153861999512
3,2048,2,32,2169636864.0,no,373.65102767944336
4,2048,2,32,2169636864.0,no,446.1047649383545
5,2048,2,32,2169636864.0,no,373.80480766296387
1,4096,2,25,6110261248.0,no,380.69629669189453
2,4096,2,25,,yes,
3,4096,2,25,,yes,
4,4096,2,25,,yes,
5,4096,2,25,,yes,
1,4096,2,26,,yes,
2,4096,2,26,,yes,
3,4096,2,26,,yes,
4,4096,2,26,,yes,
5,4096,2,26,,yes,
1,4096,2,27,,yes,
2,4096,2,27,,yes,
3,4096,2,27,,yes,
4,4096,2,27,,yes,
5,4096,2,27,,yes,
1,4096,2,28,,yes,
2,4096,2,28,,yes,
3,4096,2,28,,yes,
4,4096,2,28,,yes,
5,4096,2,28,,yes,
1,4096,2,29,,yes,
2,4096,2,29,,yes,
3,4096,2,29,,yes,
4,4096,2,29,,yes,
5,4096,2,29,,yes,
1,4096,2,30,,yes,
2,4096,2,30,,yes,
